image	class0	class1	class2	class3	class4	class5	predicted_class
TFRecord	2.6447722e-08	0.703664	0.00028675378	0.296047	2.2307395e-06	3.155835e-08	1
TFRecord	5.014093e-07	0.7507125	0.10407965	0.14487138	0.00033542654	5.423845e-07	1
TFRecord	3.459073e-08	0.35218108	0.00089968735	0.6469131	5.925217e-06	4.0149374e-08	3
TFRecord	1.7339738e-07	0.22330451	0.010372594	0.76627964	4.2848384e-05	1.9250773e-07	3
TFRecord	1.9353162e-07	0.9318125	0.005239264	0.06283853	0.00010915809	2.2757432e-07	1
TFRecord	3.0928163e-08	0.41662264	0.00077102135	0.5826014	4.7671515e-06	3.5865533e-08	3
TFRecord	3.0786114e-07	0.53155863	0.013127829	0.45525303	5.992122e-05	3.4409894e-07	1
TFRecord	1.6854218e-08	0.7302797	0.00016473277	0.2695544	1.2537313e-06	1.9927684e-08	1
TFRecord	5.9920204e-08	0.6897929	0.0009675433	0.30923584	3.551597e-06	6.790418e-08	1
TFRecord	6.173625e-08	0.480311	0.0016159998	0.51806575	7.138191e-06	6.967656e-08	3
TFRecord	1.2520027e-07	0.98644316	0.0046541844	0.0088454895	5.693571e-05	1.4552629e-07	1
TFRecord	5.1420233e-08	0.74270016	0.0005470478	0.25674877	3.7831112e-06	5.923266e-08	1
TFRecord	7.373799e-08	0.4996256	0.0015790091	0.4987839	1.1320039e-05	8.5032816e-08	1
TFRecord	7.373799e-08	0.4996256	0.0015790091	0.4987839	1.1320039e-05	8.5032816e-08	1
TFRecord	1.0076645e-07	0.98648316	0.00212717	0.011361462	2.7969016e-05	1.193044e-07	1
TFRecord	2.6005173e-07	0.7589358	0.017330293	0.22368364	4.9671315e-05	2.8916705e-07	1
TFRecord	5.580762e-07	0.91125304	0.060481332	0.027789421	0.00047499718	6.192262e-07	1
TFRecord	1.3998844e-07	0.8455124	0.0026824789	0.15178528	1.9509085e-05	1.6320561e-07	1
TFRecord	1.1500629e-07	0.56672096	0.0039875736	0.42927507	1.6171965e-05	1.3153395e-07	1
TFRecord	1.0652351e-06	0.84702533	0.044943742	0.10656336	0.0014652713	1.219222e-06	1
TFRecord	6.803484e-07	0.9090682	0.047589745	0.04294599	0.00039460033	7.456199e-07	1
TFRecord	3.665959e-07	0.94648516	0.028359048	0.024990223	0.00016468704	4.0924783e-07	1
TFRecord	6.796384e-08	0.6876129	0.0016937405	0.3106865	6.6031635e-06	7.8028386e-08	1
TFRecord	1.3754926e-06	0.7786654	0.024128446	0.19651215	0.0006908738	1.6255699e-06	1
TFRecord	4.911053e-08	0.75126946	0.0012263458	0.24749938	4.6138025e-06	5.5946877e-08	1
