image	class0	class1	class2	class3	class4	class5	predicted_class
TFRecord	5.934233e-08	0.8696284	0.0008878888	0.12948161	1.9017756e-06	6.673158e-08	1
TFRecord	8.403875e-07	0.9199798	0.023360815	0.055922735	0.00073464226	9.896322e-07	1
TFRecord	8.195458e-08	0.67637056	0.00526734	0.31835473	7.1360682e-06	9.344845e-08	1
TFRecord	4.0968008e-08	0.74300426	0.0007679357	0.25622344	4.252194e-06	4.697364e-08	1
TFRecord	2.18848e-07	0.7563183	0.02951997	0.21414268	1.863789e-05	2.423293e-07	1
TFRecord	7.428623e-08	0.9573132	0.0027316723	0.039948788	6.0475545e-06	8.392403e-08	1
TFRecord	1.5732407e-07	0.6242479	0.018931346	0.3568076	1.2910345e-05	1.7723711e-07	1
TFRecord	4.954041e-07	0.88131166	0.04304078	0.07549885	0.00014769229	5.513429e-07	1
TFRecord	7.207866e-07	0.9080551	0.08156491	0.009829237	0.00054924627	7.962934e-07	1
TFRecord	7.318571e-07	0.9233922	0.0661804	0.009913464	0.0005123817	8.0906045e-07	1
TFRecord	9.3591404e-07	0.8993014	0.078879476	0.020981519	0.00083556725	1.0354971e-06	1
TFRecord	3.77783e-08	0.79308563	0.00042484122	0.20648801	1.4907982e-06	4.4825207e-08	1
TFRecord	4.815881e-07	0.9211055	0.0021484678	0.0765909	0.00015411216	6.030614e-07	1
TFRecord	3.7002846e-07	0.8467881	0.0067117666	0.14643365	6.571593e-05	4.30794e-07	1
TFRecord	2.8169552e-07	0.8631433	0.032020096	0.104809225	2.6667853e-05	3.064195e-07	1
TFRecord	8.446583e-07	0.93864053	0.04293047	0.017632384	0.0007946903	9.60589e-07	1
TFRecord	1.4108444e-06	0.78734326	0.10354412	0.10764672	0.0014629066	1.5914707e-06	1
TFRecord	6.26045e-08	0.56377816	0.0014842494	0.43473262	4.807063e-06	7.2223344e-08	1
TFRecord	2.3651232e-07	0.97228605	0.025177125	0.0023965507	0.00013979277	2.6749416e-07	1
TFRecord	2.1968916e-08	0.8782747	0.00026066005	0.12146387	7.564545e-07	2.6013407e-08	1
TFRecord	7.694851e-08	0.5900397	0.0054707597	0.40448546	3.992345e-06	8.749362e-08	1
TFRecord	6.412898e-07	0.92318356	0.048801303	0.027717402	0.0002963767	7.1552296e-07	1
TFRecord	2.408974e-07	0.72303116	0.009142925	0.26779237	3.3059267e-05	2.674164e-07	1
TFRecord	1.2811597e-07	0.7191383	0.0057931794	0.275062	6.2958766e-06	1.4534993e-07	1
TFRecord	1.43219e-07	0.62234	0.010410765	0.36724088	8.0992395e-06	1.6202272e-07	1
TFRecord	2.0633341e-07	0.98635685	0.0011390636	0.012231161	0.00027246212	2.6018716e-07	1
TFRecord	2.3612505e-07	0.84628063	0.049806762	0.10388653	2.5480856e-05	2.522149e-07	1
TFRecord	8.141052e-08	0.54478866	0.01238476	0.4428207	5.750831e-06	9.0922434e-08	1
TFRecord	1.7887054e-07	0.87320954	0.0052454188	0.121511914	3.268601e-05	2.0453444e-07	1
TFRecord	7.5900196e-08	0.53674376	0.0075663696	0.4556856	4.0940085e-06	8.2990574e-08	1
TFRecord	1.0332898e-07	0.91286504	0.02675718	0.060370047	7.516677e-06	1.100352e-07	1
TFRecord	2.1667721e-07	0.9626955	0.031698316	0.0054771733	0.00012858082	2.4255036e-07	1
TFRecord	5.070387e-08	0.97944003	0.00061079185	0.019942025	7.171242e-06	6.004123e-08	1
TFRecord	2.8888127e-08	0.9080784	0.005311137	0.086609	1.5293184e-06	3.209209e-08	1
TFRecord	1.8536247e-07	0.961092	0.036893416	0.0018657683	0.00014836545	2.0747994e-07	1
TFRecord	2.0801797e-07	0.9535305	0.012661462	0.033735845	7.181012e-05	2.2982799e-07	1
TFRecord	7.454908e-08	0.9777296	0.0036172166	0.018640269	1.2581904e-05	8.5280085e-08	1
TFRecord	1.0301205e-07	0.976279	0.02265629	0.0010053825	5.9048627e-05	1.1345988e-07	1
TFRecord	7.3661866e-08	0.97240686	0.017660609	0.009915144	1.7162329e-05	7.978568e-08	1
TFRecord	3.1116194e-08	0.99673647	0.0012671815	0.001988149	8.206686e-06	3.626324e-08	1
TFRecord	5.1131693e-08	0.9486889	0.031789858	0.019517137	4.0295763e-06	5.4131025e-08	1
TFRecord	4.1171766e-08	0.93102676	0.011012686	0.05795764	2.876005e-06	4.3241155e-08	1
TFRecord	1.06328706e-07	0.9331179	0.06656878	0.0001474117	0.0001655884	1.1451703e-07	1
TFRecord	8.609806e-08	0.9154396	0.06534398	0.019202422	1.37525285e-05	8.902735e-08	1
TFRecord	5.7973086e-08	0.9757859	0.018117864	0.0060868314	9.343048e-06	6.136495e-08	1
TFRecord	2.2850715e-08	0.9975793	0.0023419927	6.0885257e-05	1.7809305e-05	2.6307484e-08	1
TFRecord	2.8974783e-09	0.99764794	0.00013397167	0.0022179913	1.3680652e-07	3.2848142e-09	1
TFRecord	2.678715e-08	0.9887317	0.0047624335	0.0065041254	1.8745853e-06	2.8968014e-08	1
TFRecord	8.5611205e-08	0.99717087	0.0013378208	0.001330532	0.0001605753	1.0360735e-07	1
TFRecord	1.9656644e-08	0.9683054	0.005675873	0.026016986	1.701889e-06	2.1100169e-08	1
TFRecord	6.3963036e-08	0.9379789	0.054527763	0.0074848947	8.198414e-06	6.629559e-08	1
TFRecord	1.7408915e-08	0.99887913	0.0005991628	0.00051617384	5.5140167e-06	2.070509e-08	1
TFRecord	2.0565469e-07	0.9856733	0.01071431	0.0031978039	0.00041402056	2.3933978e-07	1
TFRecord	1.1075889e-07	0.97171265	0.02770547	0.00045165262	0.00012993146	1.205767e-07	1
TFRecord	5.9405238e-08	0.9573241	0.019795801	0.022870494	9.346023e-06	6.3179044e-08	1
TFRecord	2.0589868e-08	0.99836916	0.0006181372	0.0010077104	5.0106896e-06	2.4260746e-08	1
TFRecord	9.271459e-08	0.9762082	0.012100657	0.011663916	2.6865264e-05	1.0195863e-07	1
TFRecord	7.315617e-08	0.95255965	0.026155137	0.021276431	8.653386e-06	7.569827e-08	1
TFRecord	3.0668432e-09	0.9959325	7.1611896e-05	0.003995759	1.4718847e-07	3.5626797e-09	1
TFRecord	9.0433375e-08	0.94379365	0.005354083	0.05083256	1.9470097e-05	9.963052e-08	1
TFRecord	1.701819e-08	0.99911696	0.0005691057	0.00030713773	6.7505152e-06	2.0353271e-08	1
TFRecord	3.304357e-08	0.960754	0.0070191184	0.032224897	2.0632497e-06	3.6220175e-08	1
TFRecord	6.610919e-08	0.99600405	0.00047331757	0.003443168	7.930596e-05	8.132438e-08	1
TFRecord	2.548128e-07	0.9744992	0.010269799	0.014646764	0.0005836738	2.917414e-07	1
TFRecord	4.284202e-08	0.99745077	0.00023354642	0.002235181	8.04819e-05	5.3614617e-08	1
TFRecord	4.1466617e-08	0.996179	0.0025893305	0.0012143747	1.7292547e-05	4.7425875e-08	1
TFRecord	5.261429e-08	0.9928925	0.005017275	0.0020652085	2.5078192e-05	5.832842e-08	1
TFRecord	1.0455211e-08	0.9821764	0.00021760463	0.017605338	5.945684e-07	1.1895491e-08	1
TFRecord	8.438941e-08	0.8899231	0.019214612	0.09085157	1.0452064e-05	8.890801e-08	1
TFRecord	6.978662e-08	0.98978686	0.0041762707	0.0059983875	3.823202e-05	7.792525e-08	1
